,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
ID3475385406,1,2,6,-37.8161952,144.9287407,-37.7907967,144.985865,7793.0,2018-01-15,03:31:17,2104.080000000001,4:06:21,25.85
ID1486069006,0,3,9,-37.8156831,144.9721419,-38.1109156,144.65417250000002,44267.0,2018-01-28,12:15:12,10605.18,15:11:57,20.18
ID1892620413,0,1,3,-37.806392100000004,144.9444966,-37.818971000000005,145.0038358,6007.0,2018-02-01,04:57:30,1518.12,5:22:48,13.49
ID3931169064,1,6,7,-37.7907967,144.985865,-37.8618349,144.90571599999998,11711.0,2018-03-04,21:28:51,3866.9400000000014,22:33:17,35.99
ID1585039528,0,1,6,-37.8140636,144.93969140000002,-37.7874325,144.9803767,5644.0,2018-01-05,21:31:24,1409.1600000000005,21:54:53,13.59
ID1754865402,0,8,7,-37.8158343,145.04645,-37.8618349,144.90571599999998,15151.0,2018-03-23,11:07:14,4917.479999999999,12:29:11,7.2
ID1860816859,0,4,5,-37.81127,145.0019469,-37.8021655,144.92894109999997,7209.0,2018-03-09,04:50:32,1887.5400000000006,5:21:59,13.84
ID3796982959,1,1,7,-37.820442299999996,144.96407380000002,-37.8618349,144.90571599999998,7170.0,2018-02-02,09:50:55,2573.4,10:33:48,16.64
ID1741423873,0,9,4,-38.1109156,144.65417250000002,-37.815785999999996,145.0094576,47846.0,2018-02-03,01:28:58,11520.06,4:40:58,25.97
ID5950852146,2,5,9,-37.8115487,144.9361249,-38.1109156,144.65417250000002,42773.0,2018-04-17,10:16:09,10249.2,13:06:58,877.87
ID1380498376,0,6,3,-37.7874325,144.9803767,-37.8406543,144.9930679,7372.0,2018-05-09,12:12:29,1772.7000000000005,12:42:01,9.24
ID5155762781,2,1,8,-37.8076649,144.94788269999998,-37.807202000000004,145.0266373,7646.0,2018-06-06,06:03:25,1966.9800000000007,6:36:11,178.22
ID1965328436,0,6,7,-37.7874421,144.9804091,-37.8618349,144.90571599999998,11630.0,2018-01-24,09:43:17,3697.0200000000013,10:44:54,6.74
ID3266248126,1,4,6,-37.8063268,145.00973380000002,-37.7907967,144.985865,3762.0,2018-04-06,05:32:33,1073.46,5:50:26,19.8
ID1654692868,0,4,3,-37.806973,145.00557849999998,-37.811729799999995,144.9910722,1998.0,2018-04-04,09:05:04,500.28000000000014,9:13:24,4.73
ID5735822932,2,4,6,-37.811006299999995,145.005156,-37.7874421,144.9804091,4685.0,2018-03-23,11:16:58,1208.6400000000006,11:37:06,112.79
ID1247738965,0,3,7,-37.812621500000006,144.97381430000002,-37.8618349,144.90571599999998,8702.0,2018-07-08,04:05:15,2940.9,4:54:15,19.25
ID5510313631,2,9,8,-38.1109156,144.65417250000002,-37.8158343,145.04645,51032.0,2018-03-27,22:31:07,12681.060000000005,2:02:28,1099.67
ID5975184437,2,3,1,-37.8208086,144.9850873,-37.8152787,144.93867880000002,4955.0,2018-02-27,08:10:03,1195.2600000000011,8:29:58,110.18
ID3145158074,1,9,6,-38.1109156,144.65417250000002,-37.7907967,144.985865,47193.0,2018-04-22,01:04:28,11535.780000000008,4:16:43,68.42
ID1896182577,0,1,6,-37.8129363,144.9675789,-37.7738026,144.98364660000001,7673.0,2018-06-13,09:22:50,2455.8,10:03:45,4.02
ID3342088549,1,1,9,-37.8149767,144.94132439999998,-38.1109156,144.65417250000002,42205.0,2018-05-24,06:53:32,10113.12,9:42:05,55.33
ID3120228091,1,1,7,-37.812124700000005,144.9523505,-37.8618349,144.90571599999998,9114.0,2018-05-11,12:03:26,3095.16,12:55:01,24.84
ID5532311753,2,5,1,-37.796817,144.931189,-37.809674,144.9724644,5075.0,2018-03-16,00:02:57,1348.0200000000004,0:25:25,141.58
ID5618592803,2,3,4,-37.8132223,144.98522480000003,-37.815774299999994,145.0135759,2918.0,2018-06-14,20:03:33,734.0400000000002,20:15:47,80.62
ID1671784215,0,6,7,-37.7738026,144.98364660000001,-37.8618349,144.90571599999998,16033.0,2018-06-02,20:57:47,5323.559999999999,22:26:30,15.01
ID5215593168,2,6,2,-37.773845,144.9836895,-37.8181284,144.94858480000002,6594.0,2018-06-28,14:50:35,1403.7599999999993,15:13:58,137.95
ID3139695197,1,9,1,-38.1109156,144.65417250000002,-37.8019975,144.9638804,44474.0,2018-01-01,13:51:08,10770.360000000006,16:50:38,60.96
ID1409041150,0,5,2,-37.8107157,144.9261449,-37.8233121,144.9406361,3420.0,2018-04-18,20:14:24,821.2199999999998,20:28:05,7.53
ID1157239921,0,3,1,-37.8203203,144.98088280000002,-37.8101926,144.96138290000002,2490.0,2018-03-26,02:13:11,627.9600000000003,2:23:38,12.86
ID1648951676,0,7,8,-37.8618349,144.90571599999998,-37.8158343,145.04645,15151.0,2018-06-23,04:35:08,4911.5999999999985,5:56:59,18.6
ID1922308355,0,5,6,-37.7996112,144.92731809999998,-37.773845,144.9836895,7272.0,2018-04-28,15:54:53,1673.4,16:22:46,13.54
ID3201113277,1,5,7,-37.800287899999994,144.9367364,-37.8618349,144.90571599999998,11188.0,2018-04-21,03:52:38,3573.84,4:52:11,35.95
ID3895623960,1,7,1,-37.8618349,144.90571599999998,-37.821286799999996,144.9492181,8781.0,2018-05-19,18:24:23,2996.9399999999987,19:14:19,28.33
ID3892318832,1,1,3,-37.8039285,144.94962880000003,-37.8220125,144.96947649999998,3218.0,2018-07-17,02:01:46,875.1,2:16:21,18.06
ID3981274434,1,1,6,-37.812221,144.9712955,-37.7738026,144.98364660000001,7499.0,2018-01-20,00:57:00,2431.86,1:37:31,30.23
ID3959242246,1,9,5,-38.1109156,144.65417250000002,-37.802525,144.9270871,44226.0,2018-05-27,19:31:23,10608.359999999997,22:28:11,62.56
ID1122577843,0,8,2,-37.8158343,145.04645,-37.8214747,144.9444227,9609.0,2018-06-08,12:03:46,2757.78,12:49:43,12.36
ID1411987224,0,6,4,-37.7874325,144.9803767,-37.8061766,144.9981085,3674.0,2018-04-05,20:39:25,949.08,20:55:14,9.71
ID3378420461,1,7,4,-37.8618349,144.90571599999998,-37.7984333,144.9933386,11504.0,2018-04-12,20:55:31,3794.219999999999,21:58:45,27.55
ID3114426906,1,5,8,-37.8001569,144.93536630000003,-37.8158343,145.04645,12202.0,2018-07-19,16:37:02,3360.24,17:33:02,26.23
ID1523690584,0,4,8,-37.814774,145.00660469999997,-37.8158343,145.04645,3970.0,2018-05-09,20:21:48,1288.68,20:43:16,10.14
ID3641203175,1,7,4,-37.8618349,144.90571599999998,-37.8139422,145.015182,13071.0,2018-07-03,12:48:47,3905.7,13:53:52,28.79
ID1696303517,0,9,6,-38.1109156,144.65417250000002,-37.7874325,144.9803767,47033.0,2018-06-22,18:07:46,11355.660000000005,21:17:01,18.66
ID1192578709,0,9,3,-38.1109156,144.65417250000002,-37.816087599999996,144.9722284,44262.0,2018-02-11,22:56:07,10696.679999999991,1:54:23,31.57
ID1752063989,0,3,6,-37.8256899,144.997919,-37.7874421,144.9804091,5468.0,2018-03-04,19:02:35,1411.62,19:26:06,14.43
ID3328148472,1,1,2,-37.8092064,144.96069350000002,-37.8181278,144.9294773,3232.0,2018-03-16,00:36:05,804.78,0:49:29,18.85
ID3920410168,1,4,3,-37.799319399999995,145.0097427,-37.817692,144.9912877,3611.0,2018-06-07,11:38:03,970.5599999999997,11:54:13,9.92
ID5522936515,2,8,7,-37.807202000000004,145.0266373,-37.8618349,144.90571599999998,13986.0,2018-05-12,00:47:12,4298.280000000002,1:58:50,398.66
ID3841775019,1,3,8,-37.8157926,144.9733955,-37.8158343,145.04645,6886.0,2018-06-10,17:47:42,2003.28,18:21:05,22.14
ID3442240010,1,4,5,-37.814409399999995,145.01443480000003,-37.8054867,144.9351555,8034.0,2018-07-16,02:29:15,2035.26,3:03:10,24.13
ID3778056353,1,5,7,-37.8163702,144.9286073,-37.8618349,144.90571599999998,11554.0,2018-04-01,11:45:38,3733.5,12:47:51,26.09
ID1391071070,0,1,7,-37.8064151,144.9560738,-37.8618349,144.90571599999998,9275.0,2018-02-04,00:32:41,3137.04,1:24:58,18.91
ID3767348703,1,3,4,-37.817331700000004,145.0041307,-37.8152136,145.00598069999998,379.0,2018-01-03,21:17:49,88.19999999999997,21:19:17,15.42
ID5297464864,2,9,7,-38.1109156,144.65417250000002,-37.8618349,144.90571599999998,50797.0,2018-07-10,23:36:10,13204.979999999996,3:16:14,1193.51
ID3751286631,1,1,9,-37.8146956,144.95915349999999,-38.1109156,144.65417250000002,48742.0,2018-07-26,10:59:34,11850.12,14:17:04,60.35
ID1295746867,0,2,9,-37.8129456,144.939304,-38.1109156,144.65417250000002,42468.0,2018-07-16,01:24:57,10182.72,4:14:39,28.15
ID3775835658,1,6,9,-37.7874421,144.9804091,-38.1109156,144.65417250000002,47035.0,2018-02-06,05:17:55,11407.86,8:28:02,69.57
ID5823266912,2,8,2,-37.8158343,145.04645,-37.8144221,144.9338083,11071.0,2018-07-22,06:59:43,3139.259999999997,7:52:02,283.97
ID1618332481,0,9,6,-38.1109156,144.65417250000002,-37.7874325,144.9803767,47033.0,2018-05-08,15:44:39,11355.660000000005,18:53:54,25.77
ID3752216089,1,1,8,-37.816447700000005,144.9670737,-37.8158343,145.04645,7453.0,2018-04-04,22:55:18,2173.08,23:31:31,25.71
ID3968474759,1,6,1,-37.7874325,144.9803767,-37.8120717,144.94510369999998,5111.0,2018-07-09,12:52:25,1297.5599999999995,13:14:02,15.02
ID5470045873,2,4,9,-37.7964935,145.0083308,-38.1109156,144.65417250000002,48692.0,2018-01-07,16:22:08,11874.6,19:40:02,1029.62
ID1583373582,0,7,2,-37.8618349,144.90571599999998,-37.8230565,144.942479,9323.0,2018-04-14,14:09:35,3232.5599999999995,15:03:27,13.49
ID5468886811,2,3,4,-37.820683200000005,144.99326399999998,-37.802443200000006,144.9915219,3480.0,2018-05-25,15:51:50,837.1199999999999,16:05:47,89.22
ID3634476987,1,6,2,-37.7874421,144.9804091,-37.8203842,144.9420304,5930.0,2018-04-08,12:07:59,1484.0400000000006,12:32:43,21.12
ID3751788536,1,9,4,-38.1109156,144.65417250000002,-37.8089249,145.0088358,47953.0,2018-05-12,00:40:47,11580.960000000005,3:53:47,74.29
ID1207094501,0,2,8,-37.813376,144.944541,-37.8158343,145.04645,9249.0,2018-04-16,20:28:56,2591.7,21:12:07,9.52
ID3966823567,1,4,3,-37.8166314,145.00736940000002,-37.8245784,144.9887206,2502.0,2018-04-03,21:32:01,597.12,21:41:58,17.86
ID5874845346,2,2,3,-37.8090886,144.92914380000002,-37.8184834,144.972258,4475.0,2018-02-19,07:31:27,1098.2400000000002,7:49:45,102.75
ID3772571491,1,1,9,-37.8100432,144.9727242,-38.1109156,144.65417250000002,44479.0,2018-06-16,01:32:30,10682.52,4:30:32,66.08
ID1890913543,0,3,6,-37.8161425,144.97241019999998,-37.7907967,144.985865,3527.0,2018-04-03,01:11:10,1021.86,1:28:11,14.89
ID1318514095,0,6,7,-37.7907967,144.985865,-37.8618349,144.90571599999998,11711.0,2018-01-28,02:32:06,3866.9400000000014,3:36:32,20.67
ID3255203011,1,7,9,-37.8618349,144.90571599999998,-38.1109156,144.65417250000002,50797.0,2018-06-22,20:39:02,13173.36,0:18:35,71.0
ID1905891326,0,7,3,-37.8618349,144.90571599999998,-37.8143067,144.98769319999997,9690.0,2018-03-09,23:12:51,3256.1399999999976,0:07:07,15.6
ID1429351966,0,7,2,-37.8618349,144.90571599999998,-37.8231903,144.9378251,9742.0,2018-07-19,12:26:15,3197.1599999999994,13:19:32,11.22
ID3912179359,1,8,3,-37.8158343,145.04645,-37.811840000000004,144.98924530000002,5355.0,2018-02-27,02:40:00,1630.3200000000004,3:07:10,22.3
ID1561168925,0,2,7,-37.8151257,144.93930480000003,-37.8618349,144.90571599999998,10229.0,2018-06-20,19:01:26,3390.5400000000004,19:57:56,9.82
